Rk,Team,W,L,PW,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.D,TOV%.D,DRB%,FT/FGA.D,Year
1,Chicago Bulls,67,15,66,10.07,115.5,104.5,11,94.4,0.297,0.063,0.556,0.518,11.8,35.1,0.221,0.476,14.1,69.3,0.219,1992
2,Portland Trail Blazers,57,25,59,6.94,111.4,104.2,7.2,99,0.335,0.128,0.541,0.495,13.6,35.6,0.253,0.471,14.3,69.9,0.251,1992
3,Utah Jazz,55,27,57,5.7,112.2,105.6,6.6,95.5,0.363,0.067,0.557,0.504,13.7,32.7,0.286,0.475,13,68.9,0.214,1992
4,Phoenix Suns,53,29,56,5.68,112.1,106.2,5.9,99.4,0.332,0.083,0.556,0.508,13.1,31.7,0.258,0.471,13,67.7,0.223,1992
5,Cleveland Cavaliers,57,25,55,5.34,113.9,108.2,5.7,95,0.322,0.101,0.557,0.506,11.8,30.5,0.259,0.483,12.3,66.5,0.174,1992
6,New York Knicks,51,31,52,3.67,108.3,104.2,4.1,92.9,0.295,0.089,0.531,0.491,13.7,34.6,0.216,0.471,14,71.1,0.248,1992
7,Boston Celtics,51,31,51,3.41,110.8,107,3.8,95.8,0.266,0.05,0.544,0.5,12.7,31.9,0.215,0.469,11.9,68.7,0.22,1992
8,Golden State Warriors,55,27,50,3.77,113.6,109.9,3.7,103.4,0.351,0.103,0.568,0.524,13.6,31.8,0.262,0.499,14.9,64.2,0.256,1992
9,San Antonio Spurs,47,35,50,2.81,107.5,104.1,3.4,96.2,0.317,0.057,0.528,0.485,13.9,34.2,0.233,0.469,13.5,69.8,0.224,1992
10,Detroit Pistons,48,34,47,2.06,107.5,105.3,2.2,91.6,0.307,0.077,0.52,0.477,13.5,34.9,0.228,0.468,12.5,68.5,0.204,1992
11,Seattle SuperSonics,47,35,46,1.86,110.7,108.8,1.9,95.4,0.317,0.091,0.538,0.489,14,36.5,0.249,0.491,14.2,66.8,0.269,1992
12,Indiana Pacers,40,42,46,1.85,111.7,109.9,1.8,99,0.334,0.133,0.566,0.518,14.7,31.8,0.264,0.483,12.8,67.4,0.27,1992
13,Los Angeles Clippers,45,37,44,1.1,105.8,104.7,1.1,96.5,0.314,0.071,0.524,0.483,13.6,31.6,0.226,0.475,14.9,67.5,0.244,1992
14,Los Angeles Lakers,43,39,38,-0.95,107.7,108.9,-1.2,92.5,0.327,0.064,0.516,0.465,12,32.7,0.25,0.493,13.8,64,0.187,1992
15,Philadelphia 76ers,35,47,37,-1.34,108.3,109.7,-1.4,93.7,0.335,0.101,0.539,0.488,13.8,30.9,0.26,0.496,13,66.4,0.192,1992
16,Atlanta Hawks,38,44,37,-1.15,107.3,108.9,-1.6,97.8,0.277,0.09,0.519,0.481,13,33.6,0.203,0.497,13.2,68.3,0.209,1992
17,New Jersey Nets,40,42,36,-1.54,107,108.7,-1.7,98,0.265,0.088,0.51,0.473,14.1,39.1,0.194,0.488,14.1,66.3,0.247,1992
18,Houston Rockets,42,40,36,-1.94,106.2,108,-1.8,95.1,0.293,0.139,0.537,0.499,15,30.9,0.216,0.477,12.5,66.4,0.209,1992
19,Milwaukee Bucks,31,51,36,-1.46,108.8,110.6,-1.8,95.5,0.292,0.139,0.529,0.486,14.2,35.9,0.221,0.514,15.3,65,0.237,1992
20,Charlotte Hornets,31,51,31,-3.57,107.1,110.9,-3.8,101.7,0.286,0.049,0.527,0.485,13,31.1,0.216,0.51,14.1,65.4,0.222,1992
21,Miami Heat,38,44,30,-3.94,106.7,110.9,-4.2,97.7,0.33,0.106,0.532,0.479,14.6,33,0.26,0.508,13.9,67.6,0.235,1992
22,Washington Bullets,25,57,29,-4.35,103.9,108.4,-4.5,97.7,0.268,0.074,0.514,0.471,13.3,28.9,0.208,0.493,14,66.2,0.235,1992
23,Sacramento Kings,29,53,26,-5.63,103.9,109.9,-6,99.6,0.301,0.094,0.525,0.482,14.3,28.5,0.225,0.493,13.9,64.2,0.233,1992
24,Orlando Magic,21,61,23,-6.52,103.5,110.5,-7,98,0.319,0.086,0.514,0.467,14.6,32.4,0.238,0.502,13.5,67.8,0.26,1992
25,Minnesota Timberwolves,15,67,23,-6.85,105,112.4,-7.4,95.1,0.253,0.054,0.505,0.467,12.4,31.5,0.188,0.497,13,62.3,0.244,1992
26,Denver Nuggets,24,58,21,-7.59,100.7,108.6,-7.9,98.6,0.28,0.057,0.493,0.451,14.9,34.8,0.207,0.494,14.7,68,0.279,1992
27,Dallas Mavericks,22,60,21,-7.47,103,111.1,-8.1,94.4,0.281,0.112,0.501,0.458,13.1,31.2,0.211,0.483,11.5,67.8,0.259,1992
1,Seattle SuperSonics,55,27,59,6.66,112.3,104.9,7.4,96,0.316,0.085,0.546,0.502,13.5,35.5,0.241,0.489,16.4,67.7,0.26,1993
2,Chicago Bulls,57,25,58,6.19,112.9,106.1,6.8,92.5,0.271,0.093,0.535,0.499,12,36.3,0.199,0.493,15.4,68.7,0.239,1993
3,Cleveland Cavaliers,54,28,58,6.3,112.7,106,6.7,94.8,0.308,0.108,0.565,0.518,12.5,28.1,0.247,0.482,13.1,69.1,0.185,1993
4,Phoenix Suns,62,20,57,6.27,113.3,106.7,6.6,99.8,0.358,0.154,0.566,0.521,14.2,33,0.27,0.496,13.9,69.2,0.206,1993
5,New York Knicks,60,22,58,5.87,106.1,99.7,6.4,94.5,0.336,0.088,0.526,0.479,14.1,33.1,0.249,0.444,14.9,72.1,0.294,1993
6,Houston Rockets,55,27,53,3.57,109.6,105.2,4.4,94.4,0.31,0.159,0.557,0.515,14.5,30,0.235,0.474,13.4,68.5,0.201,1993
7,Portland Trail Blazers,51,31,49,2.92,108.3,105.2,3.1,99.1,0.347,0.115,0.526,0.476,12.6,32.7,0.259,0.488,14.8,71,0.237,1993
8,San Antonio Spurs,49,33,48,2.21,109.6,106.8,2.8,95.4,0.347,0.102,0.555,0.507,13.6,27.8,0.265,0.477,12.3,70.1,0.221,1993
9,Utah Jazz,47,35,47,1.74,109.6,107.4,2.2,96.5,0.365,0.061,0.55,0.498,13.8,31,0.279,0.487,13.9,68.7,0.25,1993
10,Indiana Pacers,41,41,46,1.77,111.9,110.1,1.8,96,0.342,0.112,0.547,0.498,13.5,34.2,0.262,0.485,12.7,67.4,0.281,1993
11,Orlando Magic,41,41,45,1.35,108.5,107.1,1.4,96.3,0.372,0.133,0.554,0.509,15.5,31.4,0.271,0.473,11.9,68.8,0.232,1993
12,New Jersey Nets,43,39,45,1.2,106.5,105.2,1.3,96,0.319,0.069,0.522,0.473,14.4,35.5,0.244,0.48,14.1,69.5,0.24,1993
13,Boston Celtics,48,34,43,0.93,108.7,107.8,0.9,94.9,0.27,0.054,0.536,0.495,12.9,31.2,0.21,0.479,12.9,69,0.251,1993
14,Los Angeles Clippers,41,41,42,0.33,107.4,107.1,0.3,99.1,0.297,0.067,0.53,0.493,13.9,32.7,0.213,0.489,15.1,66.7,0.263,1993
15,Charlotte Hornets,44,38,40,-0.02,109.5,109.7,-0.2,100.2,0.329,0.074,0.547,0.499,13.8,31.3,0.254,0.487,12.6,65,0.201,1993
16,Atlanta Hawks,43,39,39,-0.67,109.3,110.2,-0.9,97.6,0.305,0.148,0.534,0.493,14,34.8,0.227,0.516,14.6,68.5,0.224,1993
17,Golden State Warriors,34,48,38,-0.94,109.2,110.2,-1,99.5,0.342,0.118,0.543,0.502,14.9,34.2,0.245,0.501,14,67,0.261,1993
18,Miami Heat,36,46,38,-0.93,107.7,108.9,-1.2,94.6,0.361,0.137,0.535,0.481,13.9,31.9,0.279,0.495,14.2,69.8,0.274,1993
19,Los Angeles Lakers,39,43,38,-1.2,107.6,108.9,-1.3,96.2,0.329,0.09,0.534,0.486,13.7,31.4,0.249,0.5,14.3,66.4,0.215,1993
20,Detroit Pistons,40,42,37,-1.1,107.4,108.9,-1.5,93.2,0.271,0.126,0.511,0.473,12.5,34.6,0.198,0.5,13.5,67.8,0.212,1993
21,Denver Nuggets,36,46,36,-2.14,104.6,106.3,-1.7,99.8,0.324,0.062,0.518,0.47,14.5,33.6,0.245,0.476,13.9,68.9,0.263,1993
22,Sacramento Kings,25,57,33,-3,106.5,109.6,-3.1,100.8,0.337,0.108,0.53,0.481,14.1,30.7,0.257,0.502,15.1,66.7,0.292,1993
23,Milwaukee Bucks,28,54,31,-3.26,106.2,110.1,-3.9,96.1,0.301,0.135,0.535,0.495,14.8,30.5,0.223,0.502,15.7,62.5,0.266,1993
24,Philadelphia 76ers,26,56,26,-5.25,104.6,110.4,-5.8,98.5,0.319,0.133,0.53,0.479,14.4,28.1,0.251,0.504,13.3,65.9,0.188,1993
25,Washington Bullets,22,60,23,-6.49,103.6,110.8,-7.2,97.7,0.298,0.082,0.523,0.48,14.2,28.8,0.223,0.51,13.6,67.1,0.219,1993
26,Minnesota Timberwolves,19,63,21,-7.62,103.6,111.8,-8.2,93.8,0.344,0.087,0.535,0.479,15.9,28.7,0.275,0.503,13.5,66.3,0.269,1993
27,Dallas Mavericks,11,71,10,-14.68,99.5,114.7,-15.2,99.5,0.299,0.115,0.495,0.455,15.1,31.1,0.21,0.519,13.5,68.1,0.347,1993
1,Seattle SuperSonics,63,19,64,8.68,111.1,101.5,9.6,95.1,0.344,0.105,0.547,0.501,13.7,34.4,0.256,0.479,18.2,67.3,0.272,1994
2,New York Knicks,57,25,60,6.48,105.7,98.2,7.5,92.8,0.311,0.135,0.527,0.483,15.1,34.4,0.232,0.451,16,71.4,0.261,1994
3,San Antonio Spurs,55,27,56,5.05,110.4,104.6,5.8,90.1,0.322,0.107,0.537,0.494,13.6,35.6,0.239,0.467,11.7,70.5,0.196,1994
4,Atlanta Hawks,57,25,56,4.94,107.2,101.7,5.5,94.2,0.294,0.118,0.523,0.48,13.6,34.6,0.221,0.475,16,67.7,0.185,1994
5,Phoenix Suns,56,26,54,4.68,111.7,106.8,4.9,96.7,0.325,0.147,0.548,0.509,13.9,35.2,0.236,0.493,13.5,69.3,0.202,1994
6,Utah Jazz,53,29,53,4.1,108.6,104.1,4.5,93.1,0.354,0.083,0.537,0.49,13.3,31.3,0.262,0.469,14.6,68.4,0.267,1994
7,Houston Rockets,58,24,53,4.19,105.9,101.4,4.5,95,0.294,0.191,0.545,0.507,15,27.6,0.218,0.458,13.3,69.7,0.192,1994
8,Cleveland Cavaliers,47,35,52,3.64,109.4,105.1,4.3,91.7,0.335,0.121,0.537,0.487,12.8,31.8,0.258,0.484,14.5,69,0.215,1994
9,Orlando Magic,50,32,52,3.68,110.8,106.7,4.1,95.2,0.341,0.165,0.547,0.514,14.4,33.8,0.231,0.479,13.3,66.3,0.214,1994
10,Indiana Pacers,47,35,51,3.26,107.8,104.2,3.6,93.3,0.366,0.077,0.547,0.5,16,34.4,0.27,0.471,14.9,68,0.267,1994
11,Chicago Bulls,55,27,50,2.87,106.1,102.7,3.4,91.9,0.273,0.097,0.526,0.493,14.6,33.8,0.192,0.482,15.3,70.8,0.225,1994
12,Miami Heat,42,40,48,2.4,109.5,106.7,2.8,93.8,0.322,0.145,0.538,0.488,14.3,35.3,0.253,0.479,14.5,69.1,0.284,1994
13,Portland Trail Blazers,47,35,48,2.6,108.1,105.5,2.6,98.8,0.323,0.104,0.518,0.472,12.5,34.4,0.24,0.49,14.8,70.8,0.235,1994
14,New Jersey Nets,45,37,47,2.11,107.2,104.9,2.3,95.5,0.351,0.096,0.515,0.461,12.7,34,0.267,0.475,13.5,69.1,0.212,1994
15,Golden State Warriors,50,32,46,1.76,108.3,106.5,1.8,99.1,0.322,0.12,0.542,0.512,14.9,32.9,0.214,0.488,14.7,64.4,0.21,1994
16,Denver Nuggets,42,40,45,1.54,103.9,102.3,1.6,96.1,0.357,0.088,0.524,0.478,15.3,32.2,0.256,0.453,13.4,69.6,0.252,1994
17,Charlotte Hornets,41,41,40,-0.23,108.4,108.6,-0.2,97.5,0.301,0.129,0.543,0.5,13.6,29.2,0.23,0.492,13.2,67,0.205,1994
18,Boston Celtics,32,50,29,-4.28,104.2,108.7,-4.5,95.6,0.284,0.068,0.521,0.482,13.5,29.3,0.207,0.494,13.7,67.8,0.238,1994
19,Los Angeles Lakers,33,49,29,-3.93,104.8,109.3,-4.5,95.5,0.269,0.11,0.503,0.466,12.8,33.2,0.193,0.492,14.3,63.2,0.24,1994
20,Los Angeles Clippers,27,55,26,-5.28,102.9,108.6,-5.7,99.6,0.297,0.116,0.521,0.484,15.4,30.4,0.211,0.494,14,64.1,0.213,1994
21,Sacramento Kings,28,54,26,-5.32,103.3,109.2,-5.9,97.5,0.326,0.104,0.516,0.471,14.2,30.4,0.239,0.499,14.2,66.4,0.252,1994
22,Milwaukee Bucks,20,62,24,-6.24,102.5,109.3,-6.8,94.5,0.32,0.15,0.512,0.471,14.7,31.1,0.225,0.513,15.7,66.5,0.254,1994
23,Minnesota Timberwolves,20,62,23,-6.55,101.9,109.2,-7.3,94.7,0.352,0.085,0.525,0.471,16.4,30.1,0.272,0.488,12.8,68,0.259,1994
24,Washington Bullets,24,58,22,-7.13,104.5,112.2,-7.7,95.9,0.317,0.109,0.529,0.484,15.3,31.2,0.237,0.526,14,66.2,0.206,1994
25,Philadelphia 76ers,25,57,21,-7.37,101.7,109.7,-8,95.7,0.31,0.138,0.518,0.478,15,28,0.221,0.502,12.8,66.6,0.177,1994
26,Detroit Pistons,20,62,21,-7.46,102.7,110.9,-8.2,94.2,0.244,0.148,0.511,0.477,13.7,28.4,0.179,0.493,12.8,66.1,0.262,1994
27,Dallas Mavericks,13,69,19,-8.19,100.4,109.6,-9.2,94.5,0.275,0.109,0.492,0.449,15,33.7,0.205,0.513,15.8,66.1,0.283,1994
1,Utah Jazz,60,22,61,7.76,114.3,105.7,8.6,92.6,0.392,0.126,0.587,0.535,14.8,29.1,0.306,0.496,15.5,72.5,0.292,1995
2,Seattle SuperSonics,57,25,61,7.91,114.8,106.3,8.5,95.5,0.38,0.194,0.575,0.527,14.1,32.6,0.288,0.492,16.1,68.7,0.278,1995
3,Orlando Magic,57,25,59,6.44,115.1,107.8,7.3,95.1,0.357,0.205,0.569,0.539,14,34,0.239,0.49,13.3,68.4,0.22,1995
4,San Antonio Spurs,62,20,57,5.9,111.7,105.4,6.3,94.6,0.372,0.173,0.562,0.516,13.8,30.9,0.275,0.485,13,72.3,0.214,1995
5,Chicago Bulls,47,35,54,4.32,109.5,104.3,5.2,92,0.308,0.177,0.546,0.509,14.5,32.9,0.224,0.488,16.7,68.2,0.263,1995
6,Phoenix Suns,59,23,51,3.86,114.5,110.4,4.1,95.9,0.338,0.227,0.567,0.524,12.7,29.7,0.255,0.515,14,69.8,0.228,1995
7,Portland Trail Blazers,44,38,52,3.8,109.7,105.7,4,93.8,0.313,0.177,0.521,0.483,13,37.1,0.218,0.491,14.8,73.5,0.277,1995
8,Indiana Pacers,52,30,52,3.35,109.6,105.6,4,90,0.383,0.158,0.557,0.507,15.5,32.8,0.287,0.493,15.8,68.6,0.237,1995
9,Charlotte Hornets,50,32,50,2.87,109.6,106.1,3.5,91.2,0.317,0.219,0.562,0.517,14.3,26,0.247,0.485,13.8,68.5,0.202,1995
10,New York Knicks,55,27,50,2.78,107.2,103.8,3.4,91.2,0.331,0.226,0.55,0.508,15.1,28.6,0.243,0.468,14.4,70.8,0.281,1995
11,Houston Rockets,47,35,47,2.32,109.7,107.4,2.3,94.2,0.31,0.267,0.568,0.529,15,26.9,0.232,0.489,13.9,67.7,0.199,1995
12,Atlanta Hawks,42,40,45,1.06,106.6,105.2,1.4,89.8,0.292,0.237,0.525,0.487,13.9,31.6,0.211,0.495,15.6,68.4,0.215,1995
13,Denver Nuggets,41,41,43,0.96,109.1,108.2,0.9,91.5,0.357,0.18,0.556,0.511,15.6,32,0.263,0.487,13.2,70.2,0.257,1995
14,Cleveland Cavaliers,43,39,43,0.55,105.3,104.6,0.7,84.8,0.317,0.165,0.52,0.472,14.2,31.8,0.241,0.493,15,72.4,0.224,1995
15,Los Angeles Lakers,48,34,40,-0.01,109.1,109.4,-0.3,95.2,0.292,0.21,0.539,0.5,13.4,31.3,0.215,0.5,14.8,64.4,0.224,1995
16,Sacramento Kings,39,43,38,-0.74,105.5,106.5,-1,92.3,0.359,0.16,0.538,0.496,16.2,32.1,0.255,0.481,15,67,0.28,1995
17,Miami Heat,32,50,36,-1.85,108.2,109.9,-1.7,92.9,0.317,0.175,0.54,0.499,14.4,31.7,0.233,0.51,14.9,68.7,0.264,1995
